id;Tweet.Type;tweets;retweets;country
1;ReTweet;2;0;United States
1;Tweet;1;10;United States
1;Reply;3;7;United States
2;Reply;13;3;Spain
2;ReTweet;32;0;Spain
2;Tweet;6;28;Spain
3;Tweet;5;10;United Kingdom
3;ReTweet;17;0;United Kingdom
3;Reply;4;4;United Kingdom
4;Tweet;6;28;United Kingdom
4;ReTweet;1;0;United Kingdom
5;ReTweet;1;0;New Caledonia
5;Tweet;4;20;New Caledonia
6;Reply;9;3;Netherlands
6;Tweet;8;16;Netherlands
7;ReTweet;6;0;Belgium
7;Tweet;6;18;Belgium
8;Tweet;1;4;United States
8;ReTweet;13;0;United States
8;Reply;3;9;United States
9;Reply;16;18;United Kingdom
9;ReTweet;33;0;United Kingdom
9;Tweet;22;16;United Kingdom
10;Tweet;4;10;Netherlands
10;ReTweet;2;0;Netherlands
11;Tweet;6;5;United States
12;Tweet;8;106;Belgium
12;Tweet;8;106;Belgium
13;Tweet;3;13;United Kingdom
13;ReTweet;9;0;United Kingdom
13;Reply;6;17;United Kingdom
14;Tweet;5;16;Switzerland
14;ReTweet;1;0;Switzerland
15;Tweet;7;36;United Kingdom
15;ReTweet;3;0;United Kingdom
16;Reply;7;8;France
16;Tweet;2;13;France
16;ReTweet;8;0;France
17;Tweet;2;10;United Kingdom
17;Reply;3;8;United Kingdom
17;ReTweet;5;0;United Kingdom
18;Reply;5;7;United States
18;ReTweet;2;0;United States
18;Tweet;1;3;United States
19;ReTweet;11;0;Australia
19;Tweet;33;21;Australia
19;Reply;10;0;Australia
20;ReTweet;21;0;New Zealand
20;Tweet;6;34;New Zealand
21;Reply;5;0;Chile
21;ReTweet;11;0;Chile
21;Tweet;9;45;Chile
22;Tweet;5;2;Canada
23;Tweet;4;0;United States
24;ReTweet;18;0;United States
24;Reply;7;0;United States
24;Tweet;4;5;United States
25;Tweet;4;21;Italy
25;Reply;2;0;Italy
25;ReTweet;2;0;Italy
26;Tweet;4;12;Chile
26;ReTweet;2;0;Chile
27;Tweet;2;7;Canada
27;Reply;8;2;Canada
28;Reply;1;0;Australia
28;ReTweet;5;0;Australia
28;Tweet;2;3;Australia
29;Reply;3;3;United States
29;Tweet;1;1;United States
29;ReTweet;2;0;United States
30;ReTweet;23;0;United Kingdom
30;Tweet;4;25;United Kingdom
30;Reply;3;0;United Kingdom
31;Reply;1;0;United States
31;Tweet;4;4;United States
31;ReTweet;3;0;United States
32;ReTweet;6;0;Australia
33;Tweet;4;14;South Africa
33;ReTweet;27;0;South Africa
33;Reply;3;0;South Africa
34;Reply;3;3;United Kingdom
34;Tweet;2;7;United Kingdom
35;Tweet;4;20;United Kingdom
35;Reply;4;0;United Kingdom
35;ReTweet;2;0;United Kingdom
36;Reply;7;3;United States
36;ReTweet;12;0;United States
36;Tweet;3;11;United States
37;Tweet;3;22;United Kingdom
37;ReTweet;6;0;United Kingdom
37;Reply;5;20;United Kingdom
38;ReTweet;1;0;United States
38;Reply;2;0;United States
38;Tweet;4;5;United States
39;Reply;3;10;United Kingdom
39;ReTweet;4;0;United Kingdom
39;Tweet;1;5;United Kingdom
40;ReTweet;1;0;Canada
40;Tweet;5;12;Canada
41;Tweet;4;8;United States
41;Reply;1;0;United States
41;ReTweet;6;0;United States
42;Tweet;36;127;United Kingdom
42;ReTweet;30;0;United Kingdom
42;Reply;24;10;United Kingdom
43;Tweet;1;2;Portugal
43;ReTweet;1;0;Portugal
44;ReTweet;3;0;Reunion
44;ReTweet;3;0;Reunion
44;Tweet;14;44;Reunion
44;Tweet;14;44;Reunion
44;Reply;5;0;Reunion
44;Reply;5;0;Reunion
45;ReTweet;6;0;Canada
45;Tweet;5;6;Canada
46;Reply;4;11;United Kingdom
46;ReTweet;4;0;United Kingdom
46;Tweet;1;3;United Kingdom
47;Tweet;6;15;Spain
47;ReTweet;2;0;Spain
47;Reply;1;0;Spain
48;Reply;2;1;Malta
48;Tweet;4;37;Malta
49;ReTweet;2;0;Belgium
49;Reply;5;3;Belgium
49;Tweet;1;7;Belgium
50;Tweet;3;8;United States
50;ReTweet;9;0;United States
50;Reply;4;15;United States
51;Tweet;10;25;Chile
51;ReTweet;3;0;Chile
52;Tweet;5;6;Australia
52;ReTweet;1;0;Australia
52;Reply;2;0;Australia
53;ReTweet;9;0;United Kingdom
53;Tweet;3;14;United Kingdom
53;Reply;7;6;United Kingdom
54;ReTweet;14;0;New Zealand
54;Tweet;10;69;New Zealand
54;Reply;3;3;New Zealand
55;Tweet;10;14;Argentina
55;Reply;7;0;Argentina
56;ReTweet;24;0;United Kingdom
56;Tweet;6;31;United Kingdom
57;ReTweet;21;0;United Kingdom
